holdout_id,thingi_id,relative_path,face_count,stratum,sha256,selection_rank,cross_slicer
N018,697210,thingi10k_strict/thingi_697210.stl,3374,faces_1k_10k,86fb3177deb80383baca51ffdd36857f410c86a29a8a4baee062cf5fc589ce85,04406a79c9dc1ef2b302b5198646f41800b4b0915837d9c8c8e92034ab4e5a06,false
N019,75269,thingi10k_strict/thingi_75269.stl,2084,faces_1k_10k,b5da07aed675a0d2c4eba925aedf6e349e07ed7b24ee847fb7bee2b08dcd030e,04520290e66f6594a752870ca2eaf95d820b336dcae9bda8b3b07aa7493551bb,false
N020,104968,thingi10k_strict/thingi_104968.stl,4496,faces_1k_10k,78df4647692b832ecbe76eb905d058f49660022138e4dda5c8be91550384a804,0498a1198a2d55a69413cc2beb8f75c04c3e894aa139857cd35acab5fbbfc975,false
N021,972830,thingi10k_strict/thingi_972830.stl,21220,faces_10k_50k,d6b94ab2d5147981f37edecd44508e4d52473d5b1f96e95f2633afe41b1e8f66,05c13c30e995a0cf2bb10bbb800ab7f67acabc0243bde073ab83045d7c051439,false
N022,78251,thingi10k_strict/thingi_78251.stl,35802,faces_10k_50k,ec9abf755ba63ff69a36d14a836ce7c3a91dde6419c95b128722cc77f13855df,06fbb7550efd909f63bbdf43aad7e11cf6c2032b5c124078d50e43468970cc48,false
N023,472155,thingi10k_strict/thingi_472155.stl,10424,faces_10k_50k,63f7c00e50bec657ad9d59c542675aa651a8f8648e44b3fa20858e12fbad1bf9,07a683610923fd915afc48df0829432acb5b95787ceb778298b58e74bd1f7f86,false
N024,224026,thingi10k_strict/thingi_224026.stl,28004,faces_10k_50k,bb60d86a506f64c2c71897aa2ef7cdb05e34a2dcd9e1bd8f907b626b1d0150b9,082de49e3eb228342b1d16d219130dcdafd827e1a947a83d3daa51d607d52a51,false
N025,496671,thingi10k_strict/thingi_496671.stl,16212,faces_10k_50k,318b539253c418a884395cccce50dc709f52ecde0b8e474c11ebbc79a5be7257,08d55550a1a601ffe26826582024327315099a1a9c5f1db244d7f6cce285eb3d,false
N026,383022,thingi10k_strict/thingi_383022.stl,12926,faces_10k_50k,c167f5ffaf4e674ca6879217b2979dda83ff9774e60a019942c1141c6b48663f,0950307b4c90d3672e2c263ac77fe28e358dcf1bd09ab61dad52b3075a75544f,false
N027,1341745,thingi10k_strict/thingi_1341745.stl,25132,faces_10k_50k,8e43a911984b199c43d19d7cf67ecd9b4bf839a6cc0d473415b5271da61f3704,09cdd352bbe13fc0fa189264e3309d74146ee4cdde0a3227bdc8a7cba7aedcad,false
N028,108771,thingi10k_strict/thingi_108771.stl,38482,faces_10k_50k,c3982f60bf1faeae7edaec82a2726a99e11d46d573111a9092b8f3bd64e807e1,09e90eb6788fa49edf622349a46d0df66dec0a348d8f4d95101ff7ba0819b460,false
N029,57140,thingi10k_strict/thingi_57140.stl,13818,faces_10k_50k,b611554dc5069b83a1b830051bcc7e43f3901a76e56fa3d83a6393c304a66cde,09f4c0ee2af0b206329fbd804fa127631be9f38865b37d98642f8cd270e41d2b,false
N030,224829,thingi10k_strict/thingi_224829.stl,28004,faces_10k_50k,0e4f0bab4d433ee19da412fe4596bdbe21b53617e0a8622f114697ed93008545,0a1287f53bba2db12250a777441a1a51549d2985bdbf3c19e1a860760aa1fcf2,false
N031,202265,thingi10k_strict/thingi_202265.stl,25364,faces_10k_50k,ab6f9ff9eb80a1059884f23d9b7febae90cf6e2a3718bb0d18ae20527511a95a,0a77db994dd0920993d3a581870ab2cf6e6549593ea953ba84cf2051d5df66ff,false
N032,60515,thingi10k_strict/thingi_60515.stl,13550,faces_10k_50k,1945d3d6997ca652e1cbf7cd89c415a96890f105b0c940f99030e75f456ef746,0ab5dcd28521fe78b0f52ae9b45bcc5c2545e0061658dc8ede7ddc1a8e542621,false
N033,75359,thingi10k_strict/thingi_75359.stl,20000,faces_10k_50k,eb71a0c8486b259ef661b141a137b23c0e6fdec8dea6723b87cfa8730b608862,0b3c416397a5d2f477458316c409cc9319833c75efbc78a299bc8daa85c8742f,false
N034,45333,thingi10k_strict/thingi_45333.stl,22314,faces_10k_50k,4e10296a6f4077b4a84c92c29a50ba627eff12f6755df6f5412c99879a23f3cc,0b5e86c945bd857dab12255f9db300d872cbf1c206883ff88b18748d14ecf225,false
N035,78295,thingi10k_strict/thingi_78295.stl,42492,faces_10k_50k,508f604a8580132efa50b6871e1e945980060c23d943c918b9cfc50b5b5be056,0c75e3cf050402048c0ff57be8d8e021d8081bfa2cc94dd375fa22f253c48ee7,false
N036,472174,thingi10k_strict/thingi_472174.stl,14526,faces_10k_50k,a9dce4adb4a2d45cdf76a349fc2c63471a25a735e0cc2ab408c1b1b0845c56cb,0cc020ca8ea4cebd0a1c075fa773ba6712d314b9951272d2c601813cb9c36356,false
N037,286160,thingi10k_strict/thingi_286160.stl,13282,faces_10k_50k,fe4644bd8ff320a5ce550340d3c2dd01e72919fb2852398ebaa4fda8f1628f2a,0d93e00062cdc2a6430b68c42732dd536e50f2340fd707232566cc456dd13e9a,false
N038,428602,thingi10k_strict/thingi_428602.stl,25736,faces_10k_50k,5ef19166dc891db3c94ffc973366db9e2d61be048cee85d85e7cfbf742fd1b86,0dca3f635bcb1bb9aeabcc9c2697156de437f19d24b1b88fcb67c7ce80362709,false
N039,636816,thingi10k_strict/thingi_636816.stl,19316,faces_10k_50k,55548eca7ad04ec80a6561cb290be79bccca6bdd82a3c9a0f697972967154a4c,0de2db82baacc014db3c70e4e731994a58827f5ebdf32bab6d697124d7e4ab3c,false
N040,479930,thingi10k_strict/thingi_479930.stl,14032,faces_10k_50k,198b51b23fb65f3abdeefc6e352fd6fa0e03f8e925fc12262bca8895754c3ad2,0de3f6b3a6c5a724d7e0033bd7680a3e4267c131b3ead9c25d1eaaf96b01cce3,false
N041,856327,thingi10k_strict/thingi_856327.stl,23204,faces_10k_50k,4ec71283688ef0d509cf066081ac432de78b04d6fa4e819ee46eae9e1742845e,0df1dbe8340972569152f941bfc6b1667e42d585d86730bb430d61cd5a3bbd80,false
N042,471994,thingi10k_strict/thingi_471994.stl,33494,faces_10k_50k,1bb92ee4c99184ec59331960b2abb5dd98ed38505d4442cf8f867aac68c7dcb6,0e7b43b668eb494de004aa8b0516a2a920ca15d5e033e53fd0bcf2a0d45ecc57,false
N043,1417960,thingi10k_strict/thingi_1417960.stl,20148,faces_10k_50k,8b7547eacb2cb509748c73e6364da4a7ba217f8463baafb7b3a0f001f98e8123,0f1c6bc6447d650663ece7c649a75d93e0cf5733f75fcfdd3c6c7e67fc44883f,false
N044,1288649,thingi10k_strict/thingi_1288649.stl,19726,faces_10k_50k,31eb6498456ba32386d57140786704b3dac745ff97a8ed28f598667aa410fca9,0f1fb12088c771f5c0550ac1f64eae4b2a72b89b3ca9ba4b20edc249a5ca5fca,false
N045,153948,thingi10k_strict/thingi_153948.stl,20884,faces_10k_50k,099457e2043bca1946b0155d140740f549c709631dc4dc3dd6176f87b3605fe3,0f350fdcbdb1773a7dcd7ee52377f446a90f1996dfa46ff5700d1b642a667c9b,false
N046,723900,thingi10k_strict/thingi_723900.stl,17680,faces_10k_50k,d07721870febe59058a5cc3ca2da3576d79f94793679e8fa2a42dbad44bcdf34,0f5f3eda05ff5e4ed3f9e5b8ab03030ac68abe43c019e0056a6b062a43b5994e,false
N047,131453,thingi10k_strict/thingi_131453.stl,11718,faces_10k_50k,243fdb576a765a30714c302717bc39a205e7e16ac55b8dbf90aa56906f170785,0f94f80ad846d4e759797718c1a23fa76dd7cedde6ea3cc33d642cf6c1c34462,false
N048,73986,thingi10k_strict/thingi_73986.stl,64440,faces_50k_150k,14800125fe63c30ed71ac1cc550f88a7532ee7f92266b13933e216814d7b0e31,16bd7ff335673ce5925104ed6b5416b575797520576d8df02e33bd4e5f96ac45,false
N049,668057,thingi10k_strict/thingi_668057.stl,62390,faces_50k_150k,732c5533e5df16d4e9fc4f982466c42b163a791d9afe7325cee0788c8c5c7c97,17b548683b8b92bd3af73e82997a65d114e5635cf2efc9e424c68d452e66bf80,false
N050,472019,thingi10k_strict/thingi_472019.stl,69324,faces_50k_150k,5cae08e07d9bb76847099e2ab3876428794fa37c881a4841de88321691db87ef,19b81efd6f0845cf0dfd7891379df9dae1d8a5b913eb83aab3e81128bf026b79,false
N051,79241,thingi10k_strict/thingi_79241.stl,74278,faces_50k_150k,f763b9b794e47aa484a386ea60d864e5eb53d5518e6fddf6617a974495d9049c,20f82d774da13c7120236d8ac4e2ab7a6cf8b7c378dee2a2c05610b729cbb2f1,false
N052,591243,thingi10k_strict/thingi_591243.stl,58592,faces_50k_150k,f3a4a4329646beb9fc9334543de1ae75c3b3f9271122f1e3a4cc2c0465226dca,218f73e9a1dcb098b74dcb306334563adb097e070cb6fcdd3af79c0cc07db7c7,false
N053,472203,thingi10k_strict/thingi_472203.stl,59852,faces_50k_150k,d6eead7b819f33b25152b010cee7a44a767f744fe668e7a69e2dc77b3d7517a3,24f3dedc0d0c0a2952b7140b04d3a56364c447691e01b39b654b359fcf3158a3,false
N054,789081,thingi10k_strict/thingi_789081.stl,75676,faces_50k_150k,553e022c4c70ba153e8a5cf2898984c5995d38ec9ba51ee689eaf206f5284229,253a38741260ecfa4edeb370f9dcca308f49f4a4646950c6c0db00b89e3e4cd4,false
N055,111240,thingi10k_strict/thingi_111240.stl,59946,faces_50k_150k,18c6070a74ca4d68cf98946175245bc82e619b8876070dbfc1e261f6d68e8117,263a3fcc2e76879085c74ecfbb7d364a84f7d6c298d58393d522b401f5f6cf42,false
N056,472111,thingi10k_strict/thingi_472111.stl,64716,faces_50k_150k,800989b9fc6c500b9899ef4c744f0b3ce47b205da944c872d15c588488133ae2,277d390c8eb972e9cc907260cf7ef7883400c6ef083bd5fd30208f255f8e662d,false
N057,101339,thingi10k_strict/thingi_101339.stl,58350,faces_50k_150k,46b6ba5ec54844de7f17a082b581f628d17672d53e0bead9e1c2e3222f45e8c0,2e2979ed0f30cfba53a47b0b705116b825db26470cac33a25aef01d346b6b84d,false
N058,667995,thingi10k_strict/thingi_667995.stl,50150,faces_50k_150k,703acb2402cc50e3e088abca0a54d554d0694132ccac73d62e55136d2ab62d02,2e3df387db0c166e2dae782ab386c4bf393fef3698d887f8dda7b034ae02d737,false
N059,69685,thingi10k_strict/thingi_69685.stl,69998,faces_50k_150k,ec4028831e42f702a809a3e1bebfe633a5383c56da6294dbcc9d3d1aed1f5d35,300fde954f6ad3aa465baa606a619d10da16a2882141a4fa5f68488ca24d4f48,false
N060,466263,thingi10k_strict/thingi_466263.stl,83648,faces_50k_150k,05442e682ef37f8458e7898e0146035125fa3dcfc966bdba002cd2ac56867001,311e437f39f6d1c26834551927652721706bc55ae8467044c0f09481fb5a553d,false
N061,548875,thingi10k_strict/thingi_548875.stl,133414,faces_50k_150k,2c1afeede9c6f2ba1fde9c5d37ba82a6711cf7170bebcbbbf221a7416bbfadc9,31cfb29495e3be8a49ef3a8edb0074296932bb52b014700f21480ebf8fb6fbac,false
N062,471990,thingi10k_strict/thingi_471990.stl,103860,faces_50k_150k,e988638eb2f4450447fea188fdeb0e40841b60773c7085121bcebc12a75dee82,31fe700a20d8cd9874c219b0b97a6b537e1fe8b06d510fc660a64599311e9c0b,false
N063,1397588,thingi10k_strict/thingi_1397588.stl,115676,faces_50k_150k,abd848cccd7d7ff1915fe3172b93975be9bde9ad16ce8f67377c8b507b6fb721,363611913e41d2461271a5afc83f05e30beb1e724e51d1a8c2fb0ab1b1ccc1f1,false
N064,488050,thingi10k_strict/thingi_488050.stl,66354,faces_50k_150k,27d9bac806b030c977775f604813e4c5473d14c648a06a9c74d5eda406352e9b,3a688083da1123755fc589a66a96e0fed8b7ce1a8cfbd3b39d2a0013e784ac87,false
N065,932610,thingi10k_strict/thingi_932610.stl,56794,faces_50k_150k,67ddf5994b62c5d7aa6a9959ba8211b92bab134d579bc6a37b3912bbd2633666,3afac6315628bd3af85d704b7aff32c0f477bf2c8600cb65443186b48a4fc3e8,false
N066,74690,thingi10k_strict/thingi_74690.stl,82060,faces_50k_150k,5c62b543744ead8342de87ee0eb1395b5fcf7fc916bb0ce7d0d547dad900262f,3d125e93198cce1b716a15ff5bf493b99d0c0aa20095be40e12f4e3f6165c385,false
N067,470464,thingi10k_strict/thingi_470464.stl,75806,faces_50k_150k,94a138b3b63e6e57c0fbf0433fc9b002e1e456af1621488b299f9cb35b87f1da,3f59b50c80fe7772da6e989b69b59f02e54277a3d716444340c7791ee4d0efde,false
N068,351479,thingi10k_strict/thingi_351479.stl,159910,faces_150k_250k,d7ab4b706dd2a70f0aed42315f42745c6c079629c780c7d5209e29caba32337c,70aa56ff22f1a72eca9f35baa58071f2f1e586df55bcc04bd54f1843251f8046,false
N069,1335002,thingi10k_strict/thingi_1335002.stl,187740,faces_150k_250k,2ec328c4fea7753db8c53f164ed50c80d8ff73295cb9da74c96efe021a56569d,760e062de668fde31054ba687a8d6d1c073bb99bb819ef2323c1c421637a31dc,false
N070,762601,thingi10k_strict/thingi_762601.stl,154802,faces_150k_250k,7d40d21c7f0c0d1dd21c0cb16bf228fab219b68fa54e28be1236f0fe7a8f0d1b,76fdeefd26bd2086ad2065d8fa688a137c99e1be90d5a814b70daf048b637336,false
N071,551075,thingi10k_strict/thingi_551075.stl,153456,faces_150k_250k,50a5777d6f5fe5056d0c0fb34eba458d7c17d42cadf6fb431ebcc399c8bf9bb3,8bb241cd1fbe783c29d48115efb1283e20ba9f42dbabba268f17a3fe7ece0313,false
N072,804297,thingi10k_strict/thingi_804297.stl,161822,faces_150k_250k,5dcc648f54f5d3531096c4469bcf8534f580e6920b3ad74b5f2c82f88667bff8,8fd0abb0971aa00c2cf5817f0f1d2f845fa3398def8cdd6b89025422359fa1b4,false
N073,399566,thingi10k_strict/thingi_399566.stl,191706,faces_150k_250k,fa9f63d9da240a6caf0dcd6627cefbf8334c6cce6359ce9a618f69a96026278f,9c372a16ecccabcc563ca8e2a4bd5ccf576a0eca2d1029488d344413bb2f5393,false
N074,762584,thingi10k_strict/thingi_762584.stl,163142,faces_150k_250k,8203c2153a27615a187b5fe2d6a829667a537fc78402634ff028f581ff95a4d7,ac8e1a24a2759dcfad375605b597e8ea77ddf0739d2a58cf01b758d3d6c9f2b3,false
N075,1063866,thingi10k_strict/thingi_1063866.stl,176752,faces_150k_250k,2deccf689d728f6dde480568904660505d0b90d030d020bd627dce78e397d289,be04dc367841dcaae83d54e2d923781f761c82aa7190c15182333ba8a4891cf0,false
N076,1356652,thingi10k_strict/thingi_1356652.stl,185576,faces_150k_250k,c9dc3256d718a1831cbd909307f3eff1051d4f8fbe3a99416aaec400b3ce2eb6,c17ca1b8e7b9cad64cf39e39943fa9dccbab7fe1ce511befac6535f04b5a6322,false
N077,1411687,thingi10k_strict/thingi_1411687.stl,200000,faces_150k_250k,21d0315c8b85263dfb2830882fc39d98c50609356a56994992144ea2162ec126,d97d825dc686d4a1abd40f00c655e6a2c1f9bfbb3a2be7915e484596058d62fd,false
N078,601644,thingi10k_strict/thingi_601644.stl,189994,faces_150k_250k,f32f904a064d4bdc7325953d56bbccf22a38c064ab5a4595e8868f5437f64b1e,e79d410448c249f21247ceb1226cd325b24bbdb154d704e44ba509accd5196e2,false
N079,789796,thingi10k_strict/thingi_789796.stl,169380,faces_150k_250k,0b386972dceb257a09fe497da6db6b7c8800d450db58db00a91e440c32111fbe,e9ed023188fd5b9ee81c11025125fc61d3815dc46dbcdb97df60871d6b52b652,false
N080,101337,thingi10k_strict/thingi_101337.stl,177312,faces_150k_250k,3d7f97de5338c603a94b3b6164361344b2f9a613d958edb240026d0089559e7d,ebce62583eb8aabc95c624217d07586d7855586169ec0355830877029920d312,false
