study_id,source_set,thingi_id,relative_path,face_count,stratum,sha256,selection_rank,tomo_grid_existing
N073,confirm80,399566,thingi10k_strict/thingi_399566.stl,191706,faces_150k_250k,fa9f63d9da240a6caf0dcd6627cefbf8334c6cce6359ce9a618f69a96026278f,9c372a16ecccabcc563ca8e2a4bd5ccf576a0eca2d1029488d344413bb2f5393,Experimental/R_term_recalib/confirm80_grids/N073.npz
N074,confirm80,762584,thingi10k_strict/thingi_762584.stl,163142,faces_150k_250k,8203c2153a27615a187b5fe2d6a829667a537fc78402634ff028f581ff95a4d7,ac8e1a24a2759dcfad375605b597e8ea77ddf0739d2a58cf01b758d3d6c9f2b3,Experimental/R_term_recalib/confirm80_grids/N074.npz
N075,confirm80,1063866,thingi10k_strict/thingi_1063866.stl,176752,faces_150k_250k,2deccf689d728f6dde480568904660505d0b90d030d020bd627dce78e397d289,be04dc367841dcaae83d54e2d923781f761c82aa7190c15182333ba8a4891cf0,Experimental/R_term_recalib/confirm80_grids/N075.npz
N076,confirm80,1356652,thingi10k_strict/thingi_1356652.stl,185576,faces_150k_250k,c9dc3256d718a1831cbd909307f3eff1051d4f8fbe3a99416aaec400b3ce2eb6,c17ca1b8e7b9cad64cf39e39943fa9dccbab7fe1ce511befac6535f04b5a6322,Experimental/R_term_recalib/confirm80_grids/N076.npz
N077,confirm80,1411687,thingi10k_strict/thingi_1411687.stl,200000,faces_150k_250k,21d0315c8b85263dfb2830882fc39d98c50609356a56994992144ea2162ec126,d97d825dc686d4a1abd40f00c655e6a2c1f9bfbb3a2be7915e484596058d62fd,Experimental/R_term_recalib/confirm80_grids/N077.npz
N078,confirm80,601644,thingi10k_strict/thingi_601644.stl,189994,faces_150k_250k,f32f904a064d4bdc7325953d56bbccf22a38c064ab5a4595e8868f5437f64b1e,e79d410448c249f21247ceb1226cd325b24bbdb154d704e44ba509accd5196e2,Experimental/R_term_recalib/confirm80_grids/N078.npz
N079,confirm80,789796,thingi10k_strict/thingi_789796.stl,169380,faces_150k_250k,0b386972dceb257a09fe497da6db6b7c8800d450db58db00a91e440c32111fbe,e9ed023188fd5b9ee81c11025125fc61d3815dc46dbcdb97df60871d6b52b652,Experimental/R_term_recalib/confirm80_grids/N079.npz
N080,confirm80,101337,thingi10k_strict/thingi_101337.stl,177312,faces_150k_250k,3d7f97de5338c603a94b3b6164361344b2f9a613d958edb240026d0089559e7d,ebce62583eb8aabc95c624217d07586d7855586169ec0355830877029920d312,Experimental/R_term_recalib/confirm80_grids/N080.npz
P001,new,762604,thingi10k_strict/thingi_762604.stl,98982,faces_50k_150k,aab4e609a2a85798392e13cc341cef78f3982f9aae7696cc62ea03f7c0de2f5a,418ed7b405400e4463b317474d2982a6ef65f5ce6128de0fe2df92068f0f07ba,
P002,new,425600,thingi10k_strict/thingi_425600.stl,103290,faces_50k_150k,081e16e921cc8a17b208d60a4a033f2b7ce33711e022ce9b8e8936e745256822,4534e5405b5fe4997c9bb8dcd83f12f4b7abf53a50dd4c0b4a92bb1a52fb1e3a,
P003,new,548861,thingi10k_strict/thingi_548861.stl,61868,faces_50k_150k,fd0e2339339abbdf1d1688b170b0d942e3c2ad748a303ae2a2795f635546e538,460fa473e66c241bd183fcd0ea6b74790c548355771a4ddc7c241fa0ee93c6fb,
P004,new,472054,thingi10k_strict/thingi_472054.stl,117656,faces_50k_150k,f2cc0f487fdc88a58f3fc54e5a7dd0967392452344c0b0dea2b9fb829ee0e076,462a447494823b2e74cd5ecc721aa853d8cc24473fcc85eda9e07f5f748551dc,
P005,new,119238,thingi10k_strict/thingi_119238.stl,73994,faces_50k_150k,f9c432680359210b9e7a2ee13340bf96e3c87343a3aae40d77edb077c9ed47b2,47df0dec4b7591b5977c8579487262585a345671052c9ee8a1fcfb5d7e3a5118,
P006,new,472046,thingi10k_strict/thingi_472046.stl,127710,faces_50k_150k,0a7ec7b69614743ea2395837e979fb67edcdc7deb9facfe509d274865765f43d,480f2270f3714eb5ac81f3d2647ef0b647931d4f909b66620849742790028355,
P007,new,313881,thingi10k_strict/thingi_313881.stl,76800,faces_50k_150k,eeeed593a233a5b34f71c5b9cec01c3aa5c19bfb1f1ff15c69235982cc41410d,4839a69de7498ae97d6d878906a22b0ad967e9f272e3e1c7d33b82811ba9c87e,
P008,new,99270,thingi10k_strict/thingi_99270.stl,134142,faces_50k_150k,17e55ff9834f1bca329f1eff63853e08ba191708692203d40ebcc38dc5ae919b,49d8747924fe012eee618cb1835a535b34ddfb999e7bb74ffe3e4b81ca630d3b,
P009,new,796150,thingi10k_strict/thingi_796150.stl,126080,faces_50k_150k,9661731a894196bdd267cab683cb9cc31a9d3ac3f1bfd8c230f5d23792a5105a,4bfa92c32e1b00ed91b0d18cdd076484c89bf5b5069ca6a50112b2c5e5f680b9,
P010,new,72960,thingi10k_strict/thingi_72960.stl,69994,faces_50k_150k,0fdcc682d5d71f6c987a932e8839e508bd6b764ff3b708277214b21f37555f89,4d9ad3c12cf6030328b08aa8cfc50266112c21a340816bfcf1075e797558af56,
P011,new,472173,thingi10k_strict/thingi_472173.stl,111642,faces_50k_150k,d96a3b639af5a10ad83011a2ec4bd8b0635de82c9a0b77886cc461da20dca402,4e80046ffb349a8b7c0a8f6f937cba65e6f1c8837965fa32e3fa9e8d212f9e71,
P012,new,71995,thingi10k_strict/thingi_71995.stl,56014,faces_50k_150k,33111b55982e37a41943235f28cfdfea4922feb1507b46b1dc2ad042d76547b4,4f7f220349e3d3828a77f576fdf98dce316f7884bbc656e8805803e9a4c7ed9c,
P013,new,125067,thingi10k_strict/thingi_125067.stl,56024,faces_50k_150k,92e0509afaeddc954db9026bea8c1bae8c12b3b9cef62d98d75db70cb9cabe83,55e864f98aaf0192d8f704527d3958a56979afea8773d4000d37868ecc49f2a2,
P014,new,472043,thingi10k_strict/thingi_472043.stl,129714,faces_50k_150k,00c4153786bd2c4af0c36bc2576ff994bd79423dc903dd7239e161b11e74d6d6,574131b5a320ad65e0cbb8efdce831a4a37683c837bfd52fb7ebc5a53de6f8ac,
P015,new,200083,thingi10k_strict/thingi_200083.stl,65346,faces_50k_150k,7fcf18d6e15b10e03717cabff2b860255b9241b85d5812ea0048d3d2f4f2ee84,59056ceeeb1ac59f00e85ea40bde07b66664e32680b9aa427ba4d6ed658d4a5b,
P016,new,1063852,thingi10k_strict/thingi_1063852.stl,68548,faces_50k_150k,13b5c5bb13fca21aa337dc0defab2fe89dc6094ec460e9a9b061fa2da7e6adc8,5b1788a7c09355e07428b5d074464766aab350a8086cb344cde0682f8f28fcd0,
P017,new,1396899,thingi10k_strict/thingi_1396899.stl,135314,faces_50k_150k,a3b3500296e21088d694b699b656f61c36050a67b2fd37d69931b0acf95f5832,5d94d80ce080b5883f523929d46a27801582cfc22fd3b0b55bff3c1f1b8534a3,
P018,new,96132,thingi10k_strict/thingi_96132.stl,118994,faces_50k_150k,dad435ab7cbb04856af48fbd45fc172549562bdeb91132620df9794a7348cf91,5f23361b1842377c53a1f3f65b92ee4e2adc436613ad857c4085ddc85c57be2e,
P019,new,471989,thingi10k_strict/thingi_471989.stl,142994,faces_50k_150k,f6b11aef0079a177b237561d3c54caf2a6174ac09dfae6d4d9b322c17adc01ef,5fa2e8d1b32dd125fefabda3e8b09edd33c7fcd3dc1803d661c679911783e0fd,
P020,new,1504272,thingi10k_strict/thingi_1504272.stl,61410,faces_50k_150k,26d526e7c46660d6629d7a10c6179d6e93c995a9e69460237a49e14c4ef17055,603c84734c9e5c6f162b76bcc93c85bccaf0a1790f2bd38cfbbb106b2e29cb81,
P021,new,916993,thingi10k_strict/thingi_916993.stl,55186,faces_50k_150k,9ef3177117a4c1bc9390cfdcbc3b587e6f31bebd058abb4c112625b3ec9c915d,6140e1a90ce4e49e731eebb6899010527de85b835872be9c50226b962fc917a0,
P022,new,167109,thingi10k_strict/thingi_167109.stl,141486,faces_50k_150k,4da66322130be1f1aba69c335ae9f93d2ae9ad84315e7f329923fcb18b17b44a,63a2c31a47d928ef9430eab01608912194015ceaba21cc11e5cfce98849cb9c9,
P023,new,43399,thingi10k_strict/thingi_43399.stl,56700,faces_50k_150k,976bc0063dcb6e5eb47cfd29b50d61c8a59cd000e833e5d555f7445e678365f4,66b514cbe22f80f154120d5da4edeae9b074f6ca535844b9cc5fd969a1e2c588,
P024,new,57942,thingi10k_strict/thingi_57942.stl,72338,faces_50k_150k,68632fc5145dbe451f5473c9857d3ddfded1237d444a41ac18002c0f8d60a7ef,68fed4caf22455c9f77a59a9ba59089312c8bcb9ecae6043b65b21106a69e644,
P025,new,668056,thingi10k_strict/thingi_668056.stl,58594,faces_50k_150k,e6c50923a93830133aca0ef69ad1945e6a7b132f14e53bab2bf67a1b166017b1,6bc96eb0cce8d89c7dc83ece7916b6946991517ebd961f371ec9cdacf5b13640,
P026,new,1706476,thingi10k_strict/thingi_1706476.stl,87128,faces_50k_150k,3b0a8a692013f69181de8a6192cde14c8e17fa9d9d5add805a77b75448b29107,6cc54ff6244784ea8d7b4d2d034dcb4f5a4a394607b255d02f59210db25a93c0,
P027,new,548862,thingi10k_strict/thingi_548862.stl,57292,faces_50k_150k,3137f6dcd7235e02d1d94b80cecce0438be4fde26ef2d7cb09a9cae8fbd54bd7,6d697f49c08e28ecbc298e16005c2475ca360b483ed13145f03637af28db54c7,
P028,new,76192,thingi10k_strict/thingi_76192.stl,71706,faces_50k_150k,6bdb6b50f3e634bbc7506ddddf50014eb491773575b176f184841517b0017c0e,6de30c43e77e068946fdf0e6bbc438dd8f7064b5e9e1042827e8a80007846495,
P029,new,99265,thingi10k_strict/thingi_99265.stl,97300,faces_50k_150k,9e7bf92b49657330f0eb17bd042cd28bef523413761e2c49559ee470cf99039e,6e0f2386287dffc36c097ced32bbfd8492e7dd96e43ab737fdb623c97d9a4521,
P030,new,548860,thingi10k_strict/thingi_548860.stl,66096,faces_50k_150k,1336b13d83d4870de48d19feccf74458ebd93e2cc45a4411dd39b1b4a2d77644,6e4fc537ffd3df8032149ee1eafa05aae703e81ba3b1db9cac30bbb03274a468,
P031,new,82257,thingi10k_strict/thingi_82257.stl,97572,faces_50k_150k,ea09832b79362e09b90768ef148a5084fc64e21c6c3d55d44a392debc43a1d40,6f14e169fa59b568758e6cbd15a0124b01ac97a580af98d6c12c605820fa679c,
P032,new,99267,thingi10k_strict/thingi_99267.stl,106776,faces_50k_150k,004bbf53ded27c4ea7f03357f261dee0dbcdd84c5f66d5b18381819b7c6c5191,6f3c619f121fa8f9d45054187c595042bfc33a8341f431241fd8baeba77c4108,
P033,new,496673,thingi10k_strict/thingi_496673.stl,103580,faces_50k_150k,16f60fe2e55a5b68fc842992e5cce64f1840a8391602393112713e1e4c6ff085,6f7b9e0c7b56d45a1630116d3c9a3c31554f97450119150fe090ab6ded9b950a,
P034,new,59333,thingi10k_strict/thingi_59333.stl,196608,faces_150k_250k,c724930dc978635969a59a60183e6035b810e5cb631038bd9a67214a8a6c46df,ef3e2f1bc6e37a81a8f6ec710a4fba8fafb98a4da2a9f8a047172e0e026dfea2,
P035,new,762586,thingi10k_strict/thingi_762586.stl,175524,faces_150k_250k,9f198745b9ef153a80293c36c8c1bbb513dbe328c12e8496cdded5853f6fcace,f24fd619938f3d170fd248cfcfa1ae649193a6432456aa93247f428d99ad3160,
P036,new,815481,thingi10k_strict/thingi_815481.stl,182040,faces_150k_250k,cf798dc38ce295d53b9ade1eb43caa65ec33d926ffda3968608b0d005ca631e5,f9d2390a18901698359bb9c5bcb8560b323f83892195eb1ab82c28ea50d44d5c,
P037,new,960066,thingi10k_strict/thingi_960066.stl,172918,faces_150k_250k,2e934fd09472f099db93e14707546ae9e09862990213329779973a1217239b93,fa077c311605013cf9daa6cf9cd7c4c38da6e7f519e74a5774c809f159fe6ec5,
